run_id,stage,task,solver,example,n_disc,a_disc,discount,seed,w_lr,num_updates,p,M,cost
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,1,2.6461597081
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0,2.70775974778
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0.005,2.67770044914
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0.01,2.67635702731
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0.02,2.67473946927
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0.03,2.67324513601
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0.04,2.67201866327
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0.05,2.67286536869
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0.06,2.67208976957
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0.08,2.665824961
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0.1,2.65193681924
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0.15,2.64710486539
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0.2,2.6497343202
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0.3,2.64822754883
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0.5,2.64831517103
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,0.75,2.64831517103
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.625,1,2.64831517103
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0,2.72989371049
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0.005,2.69452157668
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0.01,2.69326271495
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0.02,2.69165734317
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0.03,2.69028293781
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0.04,2.68893217584
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0.05,2.68985902017
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0.06,2.68894543941
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0.08,2.68085523457
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0.1,2.66094718661
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0.15,2.65228498005
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0.2,2.65340771237
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0.3,2.64988769767
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0.5,2.64955545179
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,0.75,2.64955545179
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.75,1,2.64955545179
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0,2.7527165875
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0.005,2.71085494477
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0.01,2.70981762097
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0.02,2.70828911203
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0.03,2.70715321809
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0.04,2.70574969283
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0.05,2.70666567111
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0.06,2.70565206278
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0.08,2.69621213903
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0.1,2.66993917595
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0.15,2.656778889
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0.2,2.65657135766
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0.3,2.65086207774
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0.5,2.65010100762
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,0.75,2.65010100762
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.875,1,2.65010100762
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0,2.78430691166
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0.005,2.72729675463
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0.01,2.72658411069
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0.02,2.72519804373
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0.03,2.72439842252
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0.04,2.7230022104
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0.05,2.7234449604
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0.06,2.72236927858
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0.08,2.71218487321
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0.1,2.67931942801
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0.15,2.66079181207
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0.2,2.65941078336
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0.3,2.65131446442
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0.5,2.65011563488
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,0.75,2.65011563488
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,1,1,2.65011563488
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0,0.988855210446
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0.005,0.988855210446
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0.01,0.988855210446
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0.02,0.988855210446
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0.03,0.991224948769
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0.04,0.991224948769
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0.05,0.99271965334
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0.06,0.99271965334
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0.08,0.99271965334
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0.1,0.99271965334
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0.15,1.00906245086
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0.2,1.03531123763
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0.3,1.05069160824
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0.5,1.05069160824
s1_sis_main,stage1_idealized,idealized_profile,idealized,sis,12,10,0.5,,0.7,,0,0.75,1.05069160824
