run_id,stage,example,n_disc,a_disc,discount,seed,w_lr,num_updates,p,M,sampled_cost,idealized_cost,gap,abs_gap,rel_gap,reference_run_id,outlier_threshold
s2_sysrisk_w075_u10m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.75,10000000,1,0,4.92571428567,4.85333333329,0.0723809523802,0.0723809523802,0.0149136577708,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.8,5000000,1,0,4.92571428567,4.85333333329,0.0723809523802,0.0723809523802,0.0149136577708,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u10m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.8,10000000,1,0,4.92571428567,4.85333333329,0.0723809523802,0.0723809523802,0.0149136577708,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.85,5000000,1,0,4.92571428567,4.85333333329,0.0723809523802,0.0723809523802,0.0149136577708,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u10m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.85,10000000,1,0,4.92571428567,4.85333333329,0.0723809523802,0.0723809523802,0.0149136577708,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.85,5000000,0.75,1,3.12183386753,3.19328718448,-0.0714533169465,0.0714533169465,0.0223761011204,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.75,5000000,1,0.3,3.62095238092,3.55238095235,0.0685714285714,0.0685714285714,0.0193029490618,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.75,5000000,1,0.3,3.62095238092,3.55238095235,0.0685714285714,0.0685714285714,0.0193029490618,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.8,5000000,1,0.3,3.62095238092,3.55238095235,0.0685714285714,0.0685714285714,0.0193029490618,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u10m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.8,10000000,1,0.3,3.62095238092,3.55238095235,0.0685714285714,0.0685714285714,0.0193029490618,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.85,5000000,1,0.3,3.62095238092,3.55238095235,0.0685714285714,0.0685714285714,0.0193029490618,s1_sysrisk_samegrid,0.01
